시도,시 군 구,lon,lat
대구(3),동 구,128.64966,35.920398
,수성구,128.697968,35.829913
,달성군,128.428122,35.688197
울산(1),울산시,129.318388,35.423918
부산(2),부산시,129.127722,35.226903
경기(17),수원시,126.978487,37.313365
,용인시,127.205697,37.220603
,성남시,127.148913,37.433434
,화성시,126.787435,37.172552
,남양주시,127.221431,37.573855
,안산시,126.804341,37.297637
,평택시,127.0605,36.995048
,시흥시,126.747758,37.369503
,파주시,126.858819,37.83729
,광주시,127.296948,37.441502
,이천시,127.425657,37.280729
,안성시,127.171453,37.023734
,포천시,127.127494,37.822547
,양평군,127.486853,37.484605
,군포시,126.918289,37.364333
,양주시,126.991578,37.893698
,가평군,126.991578,37.893698
강원(10),홍천,127.984657,37.863948
,홍천,127.850833,37.686322
,원주,127.859865,37.332276
,화천,127.832978,38.053271
,인제,128.164777,38.055966
,평창,128.388436,37.36434
,정선,128.664362,37.376776
,고성권,128.477309,38.372489
,강릉,129.025757,37.69605
,양양,128.729301,37.923329
,삼척,129.158691,37.465377
충북(3),충주시,127.970496,36.850738
,영동,127.782668,36.16415
,보은,127.67758,36.474947
충남(3),홍성,126.695525,36.613538
,논산,127.101254,36.216941
,천안,127.149404,36.748944
전북(3),남원시,127.341248,35.404313
,고창군,126.702091,35.558367
,임실군,127.26629,35.689463
전남(8),여수시,127.728791,34.760789
,순천시,127.511303,34.909938
,나주시,126.737628,35.037166
,담양군,126.99853,35.327228
,보성군,126.989465,34.692118
,강진군,126.811963,34.634901
,장성군,126.76075,35.282113
,진도군,126.283668,34.481333
경북(19),포항시,129.371787,36.090731
,경주시,129.152085,35.823432
,김천시,128.118342,36.163023
,안동시,128.778638,36.575058
,구미시,128.3475,36.222335
,영주시,128.613087,36.80132
,"영천시, 군위군",128.925788,35.975492
,"상주시, 문경시",128.143708,36.373095
,경산시,128.727813,35.848627
,의성군,128.698922,36.334797
,청송군,129.080682,36.389591
,영양군,129.119949,36.651023
,영덕군,129.404813,36.50979
,"청도군, 고령군",128.76562,35.615225
,칠곡군,128.43356,36.023166
,성주군,128.39431,35.891897
,예천군,128.46876,36.636133
,봉화군,128.730971,36.893982
,울진군,129.286604,37.069935
경남(7),창원권역,128.395252,35.341343
,통영권역,128.437841,34.858492
,사천권역,128.041948,35.029904
,김해권역,128.867008,35.282327
,밀양권역,128.653509,35.463653
,하동권역,127.915172,35.180875
,합천권역,128.17356,35.584946
